name,patent_count
"Samsung Display Co., Ltd.",18660
International Business Machines Corporation,17129
Canon Kabushiki Kaisha,9699
Sony Group Corporation,6783
Fujitsu Limited,6056
Intel Corporation,5699
Kabushiki Kaisha Toshiba,5672
General Electric Company,5379
Lg Electronics Inc.,5275
Mitsubishi Electric Corporation,4873
